n,date,jour,heures,brut_eur,net_eur,apres_impot_eur
1,2026-08-01,Samedi,9,108.00,84.24,84.24
2,2026-08-02,Dimanche,11,132.00,102.96,102.96
3,2026-08-03,Lundi,9,108.00,84.24,84.24
4,2026-08-04,Mardi,9,108.00,84.24,84.24
5,2026-08-05,Mercredi,0,0.00,0.00,0.00
6,2026-08-06,Jeudi,0,0.00,0.00,0.00
7,2026-08-07,Vendredi,5,60.00,46.80,46.80
8,2026-08-08,Samedi,9,108.00,84.24,84.24
9,2026-08-09,Dimanche,9,108.00,84.24,84.24
10,2026-08-10,Lundi,9,108.00,84.24,84.24
11,2026-08-11,Mardi,9,108.00,84.24,84.24
12,2026-08-12,Mercredi,9,108.00,84.24,84.24
13,2026-08-13,Jeudi,0,0.00,0.00,0.00
14,2026-08-14,Vendredi,0,0.00,0.00,0.00
15,2026-08-15,Samedi,0,0.00,0.00,0.00
16,2026-08-16,Dimanche,9,108.00,84.24,84.24
,,,TOTAL_HEURES,97,,
,,,BRUT,1164,,
,,,NET_COTIS_22PCT,908,,
,,,APRES_IMPOT_PAS_0PCT,908,,
